City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alofi,-19.0595,-169.9187,28.94,74,75,3.09,NU,1712875454
1,waitangi,-43.9535,-176.5597,17.68,92,100,4.92,NZ,1712875427
2,ust'-ilimsk,58.0006,102.6619,-5.31,93,100,0.89,RU,1712875273
3,callao,-12.0667,-77.15,24.16,69,0,6.17,PE,1712875454
4,sisimiut,66.9395,-53.6735,-5.27,90,96,1.36,GL,1712875454
5,alice springs,-23.7,133.8833,17.9,39,4,2.06,AU,1712875454
6,santa vitoria do palmar,-33.5189,-53.3681,17.62,60,93,3.6,BR,1712875454
7,port-aux-francais,-49.35,70.2167,6.0,85,100,2.46,TF,1712875414
8,nelson bay,-32.7167,152.15,18.38,83,32,3.58,AU,1712875373
9,dagua,3.6569,-76.6886,31.28,93,89,1.66,CO,1712875454
10,albany,42.6001,-73.9662,15.05,81,100,1.79,US,1712875384
11,lompoc,34.6391,-120.4579,22.01,71,0,4.63,US,1712875455
12,umluj,25.0213,37.2685,23.83,47,7,4.09,SA,1712875455
13,iranshahr,27.2025,60.6848,26.76,40,33,1.55,IR,1712875455
14,ulsan,35.5372,129.3167,15.07,74,81,1.2,KR,1712875455
15,arkalyk,50.2486,66.9114,0.12,73,5,2.39,KZ,1712875455
16,thompson,55.7435,-97.8558,1.09,75,100,4.12,CA,1712875339
17,vorgashor,67.5833,63.95,-9.55,87,100,9.85,RU,1712875455
18,smigiel,52.0134,16.527,13.29,53,97,3.47,PL,1712875455
19,savanna-la-mar,18.219,-78.1332,27.97,81,84,0.63,JM,1712875456
20,utrik,11.2278,169.8474,26.69,74,97,9.25,MH,1712875456
21,port alberni,49.2413,-124.8028,8.91,94,100,2.24,CA,1712875456
22,malango,-2.9627,119.9001,20.45,99,100,0.49,ID,1712875456
23,ivins,37.1686,-113.6794,28.31,14,1,0.92,US,1712875456
24,port shepstone,-30.7414,30.455,16.92,56,0,8.34,ZA,1712875456
25,college,64.8569,-147.8028,7.26,42,75,4.12,US,1712875456
26,puerto natales,-51.7236,-72.4875,3.3,91,36,2.44,CL,1712875440
27,invercargill,-46.4,168.35,10.01,82,99,2.24,NZ,1712875423
28,arraial do cabo,-22.9661,-42.0278,25.41,84,96,1.73,BR,1712875431
29,yacuiba,-22.038,-63.6797,15.79,95,100,2.54,BO,1712875457
30,bereeda,11.8704,51.0579,27.36,78,78,3.66,SO,1712875457
31,benghazi,32.1167,20.0667,17.76,63,100,4.26,LY,1712875457
32,carnarvon,-24.8667,113.6333,21.27,65,72,8.99,AU,1712875457
33,adamstown,-25.066,-130.1015,21.06,54,4,5.59,PN,1712875457
34,lebu,-37.6167,-73.65,11.6,89,1,2.37,CL,1712875457
35,yellowknife,62.456,-114.3525,3.29,60,40,4.63,CA,1712875200
36,wailua homesteads,22.0669,-159.378,26.24,84,100,2.06,US,1712875457
37,vikulovo,56.8167,70.6107,-1.5,81,65,5.57,RU,1712875458
38,tsiombe,-25.3,45.4833,20.06,88,95,2.06,MG,1712875458
39,kendari,-3.945,122.4989,24.9,95,86,0.76,ID,1712875458
40,grytviken,-54.2811,-36.5092,-1.59,69,12,4.33,GS,1712875428
41,malavalli,12.3833,77.0833,24.91,63,14,0.68,IN,1712875458
42,avarua,-21.2078,-159.775,27.03,94,75,5.66,CK,1712875458
43,edinburgh of the seven seas,-37.0676,-12.3116,18.44,94,65,7.01,SH,1712875458
44,prince rupert,54.3161,-130.3201,7.05,70,100,2.57,CA,1712875214
45,cho dok,10.7,105.1167,27.04,78,100,2.59,VN,1712875458
46,blackmans bay,-43.0167,147.3167,11.96,81,81,0.89,AU,1712875458
47,san patricio,28.017,-97.5169,30.92,23,0,5.36,US,1712875320
48,saipan,15.1355,145.701,29.39,70,40,6.69,MP,1712875459
49,lijiang,26.8688,100.2207,5.42,68,22,2.25,CN,1712875459
50,papatowai,-46.5619,169.4708,8.12,81,100,2.11,NZ,1712875459
51,ribeira grande,38.5167,-28.7,15.99,94,97,1.79,PT,1712875459
52,tromso,69.6496,18.957,2.01,87,100,4.63,NO,1712875459
53,auna,10.1881,4.7232,33.41,27,92,1.06,NG,1712875459
54,lensk,60.7253,114.9278,-16.77,92,97,1.33,RU,1712875427
55,port alfred,-33.5906,26.891,14.54,83,24,2.24,ZA,1712875460
56,ushuaia,-54.8,-68.3,7.81,66,0,12.35,AR,1712875323
57,denia,38.8408,0.1057,15.47,80,0,1.34,ES,1712875460
58,kaa-khem,51.6833,94.7333,1.89,91,93,1.05,RU,1712875460
59,tiksi,71.6872,128.8694,-25.68,94,23,5.43,RU,1712875460
60,betioky,-23.7167,44.3833,18.69,90,96,1.36,MG,1712875460
61,klyuchi,52.2667,79.1667,-2.75,71,77,3.47,RU,1712875460
62,ust-nera,64.5667,143.2,-7.09,92,89,2.39,RU,1712875460
63,stanley,54.868,-1.6985,13.17,91,40,4.63,GB,1712875461
64,bethel,41.3712,-73.414,14.8,89,100,3.09,US,1712875417
65,west island,-12.1568,96.8225,25.99,89,59,2.57,CC,1712875461
66,tchibanga,-2.85,11.0333,23.37,98,100,0.73,GA,1712875461
67,tallkalakh,34.6684,36.2599,12.92,84,1,0.72,SY,1712875461
68,bredasdorp,-34.5322,20.0403,13.52,72,4,3.79,ZA,1712875461
69,beloyarskiy,63.7119,66.6722,-1.88,95,100,5.68,RU,1712875461
70,longyearbyen,78.2186,15.6401,-16.09,66,0,3.6,SJ,1712875461
71,imbituba,-28.24,-48.6703,20.79,90,100,4.49,BR,1712875390
72,yeraliyev,43.2,51.65,14.24,59,2,5.93,KZ,1712875461
73,quintanar del rey,39.3382,-1.9389,11.56,47,6,3.14,ES,1712875461
74,ali-berdukovskiy,43.9895,41.7421,9.02,84,78,0.73,RU,1712875462
75,peniche,39.3558,-9.3811,19.6,68,69,4.46,PT,1712875204
76,jamestown,42.097,-79.2353,17.77,96,100,3.6,US,1712875386
77,trondheim,63.4305,10.3951,9.03,87,95,3.13,NO,1712875462
78,badger,64.8,-147.5333,7.21,43,75,4.12,US,1712875462
79,newnham,-41.3833,147.1333,10.37,93,86,2.06,AU,1712875462
80,lubango,-14.9172,13.4925,17.92,82,16,1.03,AO,1712875462
81,atafu village,-8.5421,-172.5159,29.56,76,42,3.69,TK,1712875462
82,anadyr,64.75,177.4833,-13.72,77,0,2.68,RU,1712875463
83,pangody,65.85,74.4859,-15.43,80,100,11.3,RU,1712875463
84,ungsang-nodongjagu,42.3578,130.4622,5.57,83,40,1.48,KP,1712875463
85,nagqu,31.5,92.0,-2.13,53,100,3.23,CN,1712875463
86,naze,28.3667,129.4833,19.51,88,92,3.26,JP,1712875463
87,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712875463
88,alexandria,31.2156,29.9553,16.3,72,0,2.28,EG,1712875207
89,bilibino,68.0546,166.4372,-12.0,81,100,1.41,RU,1712875463
90,macas,-2.3167,-78.1167,27.86,65,75,2.06,EC,1712875293
91,christchurch,-43.5333,172.6333,11.41,93,75,8.75,NZ,1712875464
92,guerrero negro,27.9769,-114.0611,22.91,43,73,5.2,MX,1712875464
93,karmaskaly,54.3709,56.1837,9.95,71,100,9.57,RU,1712875464
94,bilara,26.1792,73.7056,26.32,39,38,3.23,IN,1712875464
95,vilyuchinsk,52.9306,158.4028,4.15,80,6,3.32,RU,1712875464
96,qaqortoq,60.7167,-46.0333,-7.07,89,52,1.21,GL,1712875464
97,novo aripuana,-5.1206,-60.3797,25.17,96,99,0.85,BR,1712875464
98,varkaus,62.3153,27.873,2.95,97,100,2.4,FI,1712875464
99,flying fish cove,-10.4217,105.6791,26.82,89,75,3.6,CX,1712875464
100,kodiak,57.79,-152.4072,0.73,93,100,2.06,US,1712875464
101,port hedland,-20.3167,118.5667,21.03,94,0,1.54,AU,1712875465
102,mount isa,-20.7333,139.5,17.87,42,0,2.57,AU,1712875465
103,remire-montjoly,4.9167,-52.2667,28.02,89,75,3.6,GF,1712875465
104,enewetak,11.3474,162.3373,26.94,79,95,9.6,MH,1712875465
105,freetown,8.484,-13.2299,27.84,74,24,5.66,SL,1712875465
106,mhamid,29.82,-5.72,23.4,7,3,2.61,MA,1712875465
107,st. john's,47.5649,-52.7093,3.27,78,0,5.14,CA,1712875199
108,ataq,14.5377,46.8319,21.08,72,73,4.7,YE,1712875465
109,olonkinbyen,70.9221,-8.7187,-8.39,89,100,7.21,SJ,1712875465
110,kununurra,-15.7667,128.7333,16.99,88,44,0.0,AU,1712875466
111,iqaluit,63.7506,-68.5145,-2.15,68,100,2.57,CA,1712875425
112,tura,25.5198,90.2201,23.28,40,80,1.5,IN,1712875466
113,alesund,62.4723,6.1549,11.51,76,75,6.69,NO,1712875466
114,korsakov,46.6328,142.7813,5.91,86,72,4.99,RU,1712875466
115,puerto ayora,-0.7393,-90.3518,28.98,97,57,3.58,EC,1712875466
116,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,3.98,RU,1712875467
117,san antonio de pale,-1.4014,5.6325,27.64,77,100,2.53,GQ,1712875467
118,hovd,48.0056,91.6419,4.38,51,98,0.79,MN,1712875467
119,nema,57.5067,50.5011,5.83,87,0,4.4,RU,1712875467
120,lata,40.1629,-8.3327,17.26,83,97,1.36,PT,1712875467
121,san julian,21.0167,-102.1667,28.16,12,100,5.5,MX,1712875467
122,videira,-27.0083,-51.1517,18.21,98,98,1.67,BR,1712875235
123,chonchi,-42.6128,-73.8092,15.56,78,0,0.56,CL,1712875467
124,whitehorse,60.7161,-135.0538,7.43,33,20,6.17,CA,1712875436
125,berekum,7.4534,-2.584,23.78,86,100,1.72,GH,1712875468
126,ballina,-28.8667,153.5667,18.21,81,70,5.25,AU,1712875468
127,thinadhoo,0.5333,72.9333,28.68,71,95,0.83,MV,1712875468
128,at taj,24.2049,23.2857,20.86,20,100,4.0,LY,1712875468
129,cabedelo,-6.9811,-34.8339,28.37,80,100,4.38,BR,1712875365
130,hawaiian paradise park,19.5933,-154.9731,23.35,97,100,2.06,US,1712875468
131,portland,45.5234,-122.6762,17.96,42,75,4.02,US,1712875204
132,alakurtti,66.9672,30.3491,0.88,81,99,5.23,RU,1712875468
133,kudat,6.8837,116.8477,26.93,80,53,4.39,MY,1712875468
134,maridi,4.9158,29.4742,24.14,63,78,2.56,SS,1712875468
135,kismayo,-0.3582,42.5454,28.94,77,37,3.36,SO,1712875469
136,port augusta,-32.5,137.7667,16.32,60,99,2.27,AU,1712875469
137,kibakwe,-6.7167,36.3667,19.42,96,93,1.08,TZ,1712875469
138,punta arenas,-53.15,-70.9167,9.06,61,0,14.4,CL,1712875187
139,komen,45.8153,13.7483,15.98,77,11,3.54,SI,1712875469
140,constantia,44.1833,28.65,16.5,59,26,3.09,RO,1712875469
141,linton,39.0348,-87.1658,14.82,82,100,4.99,US,1712875469
142,puerto penasco,31.3167,-113.5333,31.99,62,0,4.12,MX,1712875469
143,empangeni,-28.762,31.8933,15.87,61,51,3.73,ZA,1712875469
144,gubakha,58.8386,57.5532,6.2,97,90,3.39,RU,1712875470
145,port elizabeth,-33.918,25.5701,15.05,79,20,4.63,ZA,1712875470
146,bilecik,40.0,30.1667,9.38,95,3,1.26,TR,1712875470
147,santana,-0.0583,-51.1817,27.1,94,75,0.0,BR,1712875470
148,hillsdale,41.0026,-74.0404,16.32,89,100,4.63,US,1712875240
149,santa ana,33.7456,-117.8678,33.86,54,20,5.14,US,1712875244
150,reshetylivka,49.565,34.0782,16.22,72,99,4.45,UA,1712875470
151,georgetown,5.4112,100.3354,27.75,83,20,1.03,MY,1712875177
152,craig,40.5153,-107.5464,15.97,17,0,5.14,US,1712875471
153,tralee,52.2704,-9.7026,11.53,98,100,2.09,IE,1712875471
154,bani suwayf,29.0744,31.0979,19.74,45,0,5.24,EG,1712875471
155,keflavik,64.0049,-22.5624,4.95,87,100,7.2,IS,1712875471
156,kaisiadorys,54.8667,24.45,11.98,69,100,6.22,LT,1712875471
157,podhum,43.7231,17.0011,10.09,92,76,3.58,BA,1712875471
158,barreirinha,-2.7933,-57.07,25.89,95,99,0.67,BR,1712875471
159,awjilah,29.1081,21.2869,19.99,25,52,2.9,LY,1712875472
160,faranah,10.0404,-10.7434,28.55,51,89,1.96,GN,1712875472
161,talnakh,69.4865,88.3972,-27.65,97,95,3.91,RU,1712875451
162,chos malal,-37.3781,-70.2709,13.0,46,8,3.39,AR,1712875472
163,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,38,0,5.0,RU,1712875425
164,al kharj,24.155,47.3346,23.32,41,47,6.12,SA,1712875472
165,xapuri,-10.6517,-68.5044,26.69,79,100,1.9,BR,1712875472
166,san-pedro,4.7485,-6.6363,26.2,81,100,2.35,CI,1712875472
167,tofol,5.3248,163.0078,27.88,83,100,3.09,FM,1712875473
168,nishinoomote,30.7333,131.0,18.92,79,100,8.87,JP,1712875473
169,port mathurin,-19.6833,63.4167,26.6,77,7,4.83,MU,1712875473
170,praia da vitoria,38.7333,-27.0667,16.14,94,75,3.14,PT,1712875473
171,lihue,21.9789,-159.3672,26.58,80,100,2.06,US,1712875473
172,ilulissat,69.2167,-51.1,-5.99,79,100,1.54,GL,1712875473
173,aykhal,66.0,111.5,-25.8,99,100,2.6,RU,1712875473
174,east london,-33.0153,27.9116,15.6,64,40,6.74,ZA,1712875473
175,el alto,-4.2714,-81.2147,27.81,74,85,4.69,PE,1712875473
176,al ghayzah,16.2079,52.176,26.8,74,98,3.96,YE,1712875473
177,altinopolis,-21.0256,-47.3739,25.64,85,97,1.68,BR,1712875454
178,sinop,41.7711,34.8709,9.6,90,41,1.3,TR,1712875474
179,red hill,33.9996,-79.2581,21.76,1,84,7.4,US,1712875474
180,punta del este,-34.9667,-54.95,16.6,74,40,3.6,UY,1712875305
181,margaret river,-33.95,115.0667,11.65,88,5,5.37,AU,1712875474
182,afaahiti,-17.75,-149.2833,29.93,87,89,7.39,PF,1712875474
183,new norfolk,-42.7826,147.0587,12.62,82,91,1.09,AU,1712875474
184,howard springs,-12.497,131.047,23.95,82,98,3.03,AU,1712875474
185,la passe,45.5549,-0.8967,13.34,94,48,3.2,FR,1712875460
186,rio grande,-32.035,-52.0986,20.06,60,100,6.62,BR,1712875356
187,alpine,32.835,-116.7664,27.53,53,0,4.12,US,1712875475
188,westport,41.1415,-73.3579,15.61,91,100,1.79,US,1712875423
189,nguigmi,14.2495,13.1092,28.58,14,76,5.45,NE,1712875475
190,shelton,41.3165,-73.0932,15.57,83,100,6.17,US,1712875475
191,cadale,2.7603,46.3222,29.04,73,41,5.22,SO,1712875475
192,haiku-pauwela,20.9219,-156.3051,27.01,70,20,7.2,US,1712875475
193,taft,31.7471,54.2088,13.97,48,20,7.2,IR,1712875475
194,altai,46.3722,96.2583,0.22,62,40,5.95,MN,1712875475
195,jiuquan,39.7432,98.5174,10.15,32,7,2.27,CN,1712875475
196,jamaame,0.0697,42.745,28.51,77,55,2.14,SO,1712875475
197,kapuskasing,49.4169,-82.4331,16.05,36,100,2.57,CA,1712875339
198,rakops,-21.0167,24.3333,21.27,54,85,6.87,BW,1712875476
199,susuman,62.7833,148.1667,-12.23,92,99,1.34,RU,1712875476
200,hithadhoo,-0.6,73.0833,28.52,73,100,2.3,MV,1712875470
201,albina,5.5,-54.05,25.24,87,78,1.81,SR,1712875476
202,namibe,-15.1961,12.1522,22.73,72,0,1.89,AO,1712875476
203,seorinarayan,21.7333,82.5833,23.69,56,73,0.7,IN,1712875476
204,cockburn town,21.4612,-71.1419,25.32,81,5,9.26,TC,1712875444
205,tazovsky,67.4667,78.7,-22.03,94,63,6.73,RU,1712875476
206,isafjordur,66.0755,-23.124,-2.87,94,100,13.49,IS,1712875477
207,labytnangi,66.6572,66.4183,-6.31,95,100,6.01,RU,1712875477
208,pisco,-13.7,-76.2167,26.03,65,0,6.17,PE,1712875477
209,nova sintra,14.8667,-24.7167,22.66,76,2,7.38,CV,1712875477
210,merizo village,13.2658,144.6691,28.85,87,100,6.54,GU,1712875477
211,talcahuano,-36.7167,-73.1167,14.82,72,0,3.09,CL,1712875238
212,saint-henri,46.6921,-71.0671,8.46,94,100,4.63,CA,1712875477
213,mount gambier,-37.8333,140.7667,13.64,62,100,1.61,AU,1712875477
214,fale old settlement,-9.3852,-171.2468,29.58,76,22,3.87,TK,1712875477
215,saint-joseph,-21.3667,55.6167,25.21,83,41,0.87,RE,1712875252
216,yarmouth,41.7057,-70.2286,13.97,94,100,4.47,US,1712875478
217,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712875478
218,kamogawa,35.1,140.1,16.19,89,99,3.97,JP,1712875478
219,seshcha,53.7361,33.3387,7.51,70,41,3.32,RU,1712875478
220,vad,55.5301,44.2114,8.67,76,6,3.29,RU,1712875478
221,saint-sulpice-la-pointe,43.7742,1.6874,12.27,89,29,0.39,FR,1712875478
222,rongelap,11.1635,166.8941,26.91,79,100,8.8,MH,1712875478
223,madhubani,26.3667,86.0833,24.46,42,25,3.28,IN,1712875478
224,crucecita,-28.95,-58.9833,17.34,82,100,5.38,AR,1712875478
225,moratuwa,6.773,79.8816,25.01,80,43,0.38,LK,1712875479
226,igrim,63.1906,64.4162,1.57,98,100,5.0,RU,1712875479
227,nilakottai,10.1667,77.8667,28.45,78,35,1.05,IN,1712875479
228,labrador city,52.9463,-66.9114,3.95,70,100,4.63,CA,1712875479
229,saldanha,-33.0117,17.9442,17.03,60,7,5.38,ZA,1712875479
230,porto seguro,-16.4497,-39.0647,28.29,83,40,2.57,BR,1712875296
231,lahad datu,5.0268,118.327,24.87,90,11,0.98,MY,1712875479
232,hasaki,35.7333,140.8333,16.27,79,100,5.65,JP,1712875479
233,kapa'a,22.0752,-159.319,26.99,84,100,2.06,US,1712875471
234,chenzhou,25.8,113.0333,21.81,96,89,0.34,CN,1712875480
235,yigo village,13.5361,144.8886,28.16,80,75,6.17,GU,1712875480
236,sabang,5.8933,95.3214,29.72,72,98,7.27,ID,1712875480
237,glace bay,46.1969,-59.957,4.25,78,40,4.12,CA,1712875480
238,geiro,-6.15,36.8667,18.41,99,74,1.03,TZ,1712875480
239,richland center,43.3347,-90.3868,12.27,80,100,4.95,US,1712875480
240,akureyri,65.6835,-18.0878,1.96,80,75,4.12,IS,1712875480
241,tobol'sk,58.2,68.2667,-2.44,75,100,2.24,RU,1712875480
242,ad dabbah,18.05,30.95,23.8,16,14,5.73,SD,1712875480
243,vadso,70.0744,29.7487,1.49,75,100,9.77,NO,1712875481
244,quesnel,52.9999,-122.5029,13.28,33,40,5.66,CA,1712875214
245,nuuk,64.1835,-51.7216,-2.66,93,75,3.6,GL,1712875481
246,nemuro,43.3236,145.575,4.89,95,100,7.13,JP,1712875481
247,kuta,-8.7233,115.1723,26.97,94,40,1.03,ID,1712875481
248,conduaga,8.862,117.4893,25.44,78,45,1.11,PH,1712875481
249,bhamo,24.2667,97.2333,20.96,44,86,0.67,MM,1712875481
250,severo-yeniseyskiy,60.3725,93.0408,-19.68,99,98,0.45,RU,1712875481
251,ubaira,-13.2681,-39.6628,21.41,99,59,1.17,BR,1712875451
252,harstad,68.799,16.5293,2.66,96,99,9.83,NO,1712875482
253,usinsk,65.9939,57.5281,1.71,99,100,10.28,RU,1712875482
254,igarka,67.4667,86.5833,-31.66,100,55,0.89,RU,1712875482
255,todabhim,26.9167,76.8167,27.65,21,100,2.24,IN,1712875482
256,daru,-9.0763,143.2092,26.86,84,100,7.65,PG,1712875482
257,prado,-17.3411,-39.2208,25.83,84,16,2.91,BR,1712875482
258,hamilton,39.1834,-84.5333,17.05,89,100,8.94,US,1712875355
259,san pedro pochutla,15.7333,-96.4667,31.84,60,91,3.79,MX,1712875483
260,villa gesell,-37.2639,-56.973,13.36,57,99,3.46,AR,1712875436
261,navia,43.5354,-6.7194,16.24,88,100,1.43,ES,1712875483
262,stephenville,32.2207,-98.2023,23.42,34,0,2.57,US,1712875483
263,yelizovo,53.1873,158.3805,4.08,38,0,5.0,RU,1712875483
264,bamboo flat,11.7,92.7167,28.05,89,7,0.51,IN,1712875483
265,nizhniy odes,63.6445,54.856,1.36,96,100,6.15,RU,1712875483
266,worthing,50.8145,-0.3713,12.1,93,98,6.08,GB,1712875414
267,puerto cabello,10.4731,-68.0125,34.75,91,12,3.88,VE,1712875483
268,bad bramstedt,53.9167,9.8833,13.56,39,98,3.03,DE,1712875484
269,el calafate,-50.3408,-72.2768,6.98,63,2,2.21,AR,1712875236
270,abashiri,44.0213,144.2697,9.32,54,100,4.33,JP,1712875484
271,port douglas,-16.4833,145.4667,25.29,65,50,3.66,AU,1712875484
272,bull savanna,17.8868,-77.5902,26.25,75,38,7.2,JM,1712875484
273,khandyga,62.6667,135.6,-3.39,88,99,3.46,RU,1712875484
274,puerto baquerizo moreno,-0.9,-89.6,27.55,78,40,5.66,EC,1712875334
275,isangel,-19.55,169.2667,27.06,94,75,1.03,VU,1712875484
276,kramfors,62.9316,17.7765,0.89,100,75,0.0,SE,1712875484
277,mossel bay,-34.1831,22.146,15.29,72,0,2.58,ZA,1712875485
278,udachny,66.4167,112.4,-25.32,99,100,2.26,RU,1712875485
279,torreblanca,40.2203,0.1965,17.02,54,1,1.72,ES,1712875485
280,calugareni,44.1717,25.9956,20.14,67,2,2.47,RO,1712875485
281,arauco,-37.2463,-73.3175,10.65,91,44,0.54,CL,1712875485
282,quang ngai,15.1167,108.8,22.9,84,100,2.51,VN,1712875485
283,ocean shores,46.9737,-124.1563,12.99,85,100,2.68,US,1712875302
284,bel ombre,-4.6167,55.4167,29.91,62,0,3.09,SC,1712875485
285,chernyshevskiy,63.0128,112.4714,-25.73,97,20,1.2,RU,1712875486
286,amahai,-3.3333,128.9167,26.88,79,93,1.51,ID,1712875486
287,bima,-8.4667,118.7167,24.74,93,94,1.13,ID,1712875486
288,kingaroy,-26.5333,151.8333,19.27,69,1,3.92,AU,1712875486
289,savoy,45.5,6.4167,5.4,32,86,1.76,FR,1712875486
